id,date,pollster,pollsterName,sampleSize,method,marginOfError,results,neutralResults,undecided,source
nt2026-001,2026-01-20,tvbs,TVBS,1050,phone,2.95,"li:48.0,su:33.0","li:39.0,su:26.0",19.0,https://news.tvbs.com.tw/
nt2026-001c,2026-04-13,formosa,美麗島,1070,phone,3.0,"li:35.5,su:34.5","li:28.0,su:27.0",30.0,https://www.my-formosa.com/
nt2026-001b,2026-05-05,zmedia,震傳媒（委山水執行）,1070,phone,3.0,"li:39.6,su:34.8","li:32.0,su:28.0",25.6,https://www.zmedia.com.tw/
nt2026-001d,2026-05-12,ettoday,ETtoday,1142,online,2.9,"li:42.5,su:41.7","li:35.0,su:34.0",15.8,https://www.ettoday.net/
nt2026-002,2026-07-16,asia-pacific,新台灣國策智庫,1083,phone,2.97,"li:40.0,su:40.2","li:33.0,su:34.0",19.8,http://www.braintrust.tw/
nt2026-003,2026-07-20,junews,鉅聞天下新聞網（委皮爾森數據）,1766,online,2.3,"li:50.85,su:44.06","li:54.81,su:33.21",5.09,https://www.ftnn.com.tw/
nt2026-004,2026-07-29,tvbs,TVBS,1050,phone,3.0,"li:43.7,su:36.8","li:36.0,su:30.0",19.5,https://news.tvbs.com.tw/
nt2026-005,2026-08-14,ettoday,ETtoday,1213,online,2.8,"li:39.3,su:37.3","li:34.0,su:32.0",23.4,https://www.ettoday.net/
nt2026-006,2026-08-27,era,年代民調,1070,phone,3.0,"li:32.2,su:37.8","li:25.0,su:32.0",30.0,https://www.eranews.com.tw/
nt2026-007,2026-09-01,beacon,信民協會（戴立安規劃／畢肯執行）,1071,phone,3.0,"su:35.2,li:34.7","su:30.0,li:29.0",30.1,https://www.cmmedia.com.tw/
nt2026-008,2026-09-02,tvbs,TVBS,1224,phone,2.8,"li:39.8,su:33.1","li:33.0,su:27.0",27.1,https://news.tvbs.com.tw/
